bond_code,bond_name,stock_code,stock_name,issue_date
110073,国投转债,600061,国投资本,
110076,华海转债,600521,华海药业,
110081,闻泰转债,600745,*ST闻泰,
110092,三房转债,600370,三房巷,
111001,山玻转债,605006,山东玻纤,
111005,富春转债,605189,芜湖富春染织股份有限公司,
111009,盛泰转债,605138,盛泰集团,
111010,立昂转债,605358,立昂微,
111013,新港转债,605162,新中港,
111023,利柏转债,605167,利柏特,
113059,福莱转债,601865,福莱特,
113625,江山转债,603208,江山欧派,
113638,台21转债,603055,台华新材,
113644,艾迪转债,603638,艾迪精密,
113647,禾丰转债,603609,禾丰股份,
113648,巨星转债,603477,巨星农牧,
113650,博22转债,603916,苏博特,
113652,伟22转债,603568,伟明环保,
113656,嘉诚转债,603535,嘉诚国际,
113660,寿22转债,603896,寿仙谷,
113670,金23转债,603180,金牌家居,
113673,岱美转债,603730,上海岱美汽车内饰件股份有限公司,
113679,芯能转债,603105,浙江芯能光伏科技股份有限公司,
113682,益丰转债,603939,益丰药房,
113686,泰瑞转债,603289,泰瑞机器,
113693,志邦转债,603801,志邦家居,
113700,海天转债,603759,海天水务集团股份公司,
113701,祥和转债,603500,祥和实业,
118004,博瑞转债,688166,博瑞医药,
118005,天奈转债,688116,天奈科技,
118011,银微转债,688689,银河微电,
118015,芯海转债,688595,芯海科技,
118018,瑞科转债,688323,深圳瑞华泰薄膜科技股份有限公司,
118020,芳源转债,688148,芳源股份,
118022,锂科转债,688779,五矿新能,
118024,冠宇转债,688772,珠海冠宇,
118027,宏图转债,688066,航天宏图,
118033,华特转债,688268,华特气体,
118041,星球转债,688633,星球石墨,
118053,正帆转债,688596,上海正帆科技股份有限公司,
118061,茂莱转债,688502,南京茂莱光学科技股份有限公司,
118065,艾为转债,688798,艾为电子,
118066,统联转债,688210,深圳市泛海统联精密制造股份有限公司,
118067,上26转债,688533,上声电子,
123054,思特转债,300608,思特奇,
123061,航新转债,300424,航新科技,
123064,万孚转债,300482,万孚生物,
123065,宝莱转债,300246,宝莱特,
123071,天能转债,300569,天能重工,
123072,乐歌转债,300729,乐歌股份,
123090,三诺转债,300298,三诺生物,
123104,卫宁转债,300253,卫宁健康,
123109,昌红转债,300151,昌红科技,
123117,健帆转债,300529,健帆生物科技集团股份有限公司,
123118,惠城转债,300779,青岛惠城环保科技集团股份有限公司,
123121,帝尔转债,300776,武汉帝尔激光科技股份有限公司,
123122,富瀚转债,300613,富瀚微,
123126,瑞丰转债,300243,瑞丰高材,
123138,丝路转债,300556,丝路视觉,
123142,申昊转债,300853,申昊科技,
123144,裕兴转债,300305,裕兴股份,
123150,九强转债,300406,九强生物,
123151,康医转债,300869,康泰医学系统（秦皇岛）股份有限公司,
123157,科蓝转债,300663,科蓝软件,
123160,泰福转债,300992,泰福泵业,
123165,回天转债,300041,回天新材,
123168,惠云转债,300891,惠云钛业,
123171,共同转债,300966,共同药业,
123175,百畅转债,300614,百川畅银,
123179,立高转债,300973,立高食品,
123180,浙矿转债,300837,浙矿股份,
123192,科思转债,300856,科思股份,
123196,正元转02,300645,正元智慧,
123198,金埔转债,301098,金埔园林,
123214,东宝转债,300239,东宝生物,
123216,科顺转债,300737,科顺股份,
123220,易瑞转债,300942,易瑞生物,
123223,九典转02,300705,九典制药,
123236,家联转债,301193,家联科技,
123243,严牌转债,301081,严牌股份,
123250,嘉益转债,301004,嘉益股份,
123253,永贵转债,300351,永贵电器,
123259,锦浪转02,300763,锦浪科技,
123262,神宇转债,300563,神宇股份,
123264,双乐转债,301036,双乐股份,
123266,博士转债,300622,博士眼镜,
127017,万青转债,000789,万年青,
127018,本钢转债,000761,本钢板材,
127024,盈峰转债,000967,盈峰环境科技集团股份有限公司,
127024.SZ,盈峰转债,000967,盈峰环境科技集团股份有限公司,
127025,冀东转债,000401,金隅冀东,
127026,超声转债,000823,超声电子,
127030,盛虹转债,000301,东方盛虹,
127031,洋丰转债,000902,新洋丰,
127038,国微转债,002049,紫光国微,
127044,蒙娜转债,002918,蒙娜丽莎,
127046,百润转债,002568,百润股份,
127049,希望转2,000876,新希望,
127050,麒麟转债,002984,森麒麟,
127053,豪美转债,002988,豪美新材,
127056,中特转债,000708,中信特钢,
127059,永东转2,002753,永东股份,
127060,湘佳转债,002982,湘佳股份,
127061,美锦转债,000723,美锦能源,
127062,垒知转债,002398,垒知集团,
127066,科利转债,002850,科达利,
127069,小熊转债,002959,小熊电器,
127080,声迅转债,003004,ST声迅,
127085,韵达转债,002120,韵达股份,
127090,兴瑞转债,002937,兴瑞科技,
127093,章鼓转债,002598,ST章鼓,
127098,欧晶转债,001269,欧晶科技,
127102,浙建转债,002761,浙江建投,
127111,金威转债,002626,金达威,
128097,奥佳转债,002614,奥佳华,
128108,蓝帆转债,002382,蓝帆医疗,
128119,龙大转债,002726,ST龙大,
128121,宏川转债,002930,宏川智慧,
128124,科华转债,002022,上海科华生物工程股份有限公司,
128127,文科转债,002775,文科股份,
128128,齐翔转2,002408,齐翔腾达,
128134,鸿路转债,002541,鸿路钢构,
128135,洽洽转债,002557,洽洽食品,
128137,洁美转债,002859,洁美科技,
128138,侨银转债,002973,侨银股份,
128141,旺能转债,002034,旺能环境,
148064,22越控 02,600415,广州越秀资本控股集团股份有限公司,
148093,22光控01,,,
148097,22越控 04,,广州越秀资本控股集团股份有限公司,
148099,22万科 07,000002,万科 A,
148205,23重发 01,,,
148300,23广资01,,,
148330,23越产02,,,
148418.SZ,23长开03,,,
148437,23新化K1,600795,新疆中泰化学股份有限公司,
148437.SZ,23新化K1,148437,新疆中泰化学股份有限公司,
149297,20万科 08,000002,万科 A,
149358,21万科02,000002,万科A,
149529,21申证Y1,,,
149539.SZ,21建房01,149539,建发房地产集团有限公司,
149797,22新资01,,,
149797.SZ,22新资01,,新疆金投资产管理股份有限公司,
149975,22万科 05,000002,万科 A,
188024,中国银河证券股份有限公司公开发行2021年永续次级债券（第二期）,601881,中国银河,
