bond_code,bond_name,stock_code,stock_name,event_type,complete,nodes,missing_nodes,trigger_date,proposal_date,resolution_date,implementation_date,result_date,total_days,cycle_status,original_conv_price,new_conv_price,adjustment_ratio,redemption_price,premium_rate,avg_price_1d,notes,events
110073,国投转债,600061,国投资本,adjustment,False,"trigger,implementation","proposal,resolution",2025-12-05,,,2026-04-03,,119,LONG,9.42,,,,,,,"[{""doc_id"": ""434740bd93b8fa5e"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2025-12-05"", ""nodes"": [""trigger""]}, {""doc_id"": ""4ef5bd109a25ef20"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-04-03"", ""nodes"": [""trigger"", ""implementation""]}, {""doc_id"": ""ddefa419f921e61f"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-03-27"", ""nodes"": [""trigger""]}]"
110076,华海转债,600521,华海药业,adjustment,True,"trigger,proposal,resolution,implementation",,2026-05-21,2026-04-18,2026-04-18,2026-05-25,,37,NORMAL,33.06,16.6,49.77,,,16.6,,"[{""doc_id"": ""1f0b8841d52d4d13"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-05-21"", ""nodes"": [""trigger"", ""implementation""]}, {""doc_id"": ""43bb52461db6a3dd"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-04-10"", ""nodes"": [""trigger""]}, {""doc_id"": ""d15e222a455a632e"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-01-19"", ""nodes"": [""trigger""]}, {""doc_id"": ""6560c9ee54448a23"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-04-18"", ""nodes"": [""trigger"", ""proposal"", ""resolution""]}]"
110081,闻泰转债,600745,*ST闻泰,adjustment,False,"trigger,proposal,implementation",resolution,2026-05-27,2026-05-27,,2026-04-10,,47,NORMAL,43.6,32.66,25.08,,,30.37,,"[{""doc_id"": ""59f84b5f08e5529d"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-27"", ""nodes"": [""trigger"", ""proposal"", ""implementation""]}, {""doc_id"": ""f912c729e53c1fdb"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-04-09"", ""nodes"": [""trigger"", ""implementation""]}, {""doc_id"": ""aeaea3e147417c68"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-03-03"", ""nodes"": [""trigger"", ""proposal"", ""implementation""]}]"
110092,三房转债,600370,三房巷,adjustment,True,"trigger,proposal,resolution,implementation",,2026-04-03,2026-04-03,2026-04-03,2026-04-03,,0,NORMAL,3.02,,,,,,,"[{""doc_id"": ""e959f6b7bb33a906"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-04-03"", ""nodes"": [""trigger"", ""proposal"", ""resolution"", ""implementation""]}]"
111001,山玻转债,605006,山东玻纤,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-25,2026-03-25,,2026-04-01,,7,NORMAL,11.18,,,,,,,"[{""doc_id"": ""93515a2b43d47919"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-03-25"", ""nodes"": [""trigger"", ""proposal""]}, {""doc_id"": ""b717c39179a67bf1"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-04-01"", ""nodes"": [""trigger"", ""implementation""]}]"
111005,富春转债,605189,富春染织,adjustment,False,"trigger,implementation","proposal,resolution",2026-05-27,,,2026-05-28,,1,NORMAL,,,,101.4,1.4,,,"[{""doc_id"": ""be8cad108806640e"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-27"", ""nodes"": [""trigger"", ""implementation""]}, {""doc_id"": ""170933f0114c4d7d"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-26"", ""nodes"": [""trigger"", ""implementation""]}, {""doc_id"": ""5db595b5e2269cac"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-20"", ""nodes"": [""trigger"", ""implementation""]}]"
111005,富春转债,605189,芜湖富春染织股份有限公司,redemption,False,"trigger,implementation,result",resolution,2026-05-21,,,2026-05-28,2026-05-29,8,NORMAL,,,,101.4,1.4,,,"[{""doc_id"": ""057f3ee963b3eb52"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-21"", ""nodes"": [""trigger"", ""implementation"", ""result""]}, {""doc_id"": ""be8cad108806640e"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-27"", ""nodes"": [""trigger"", ""implementation"", ""result""]}, {""doc_id"": ""f562aaa60e92046d"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-28"", ""nodes"": [""trigger"", ""implementation"", ""result""]}, {""doc_id"": ""ceaafff3c6a4bac5"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-19"", ""nodes"": [""trigger"", ""implementation"", ""result""]}, {""doc_id"": ""e32a8dc309cec024"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-22"", ""nodes"": [""trigger"", ""implementation"", ""result""]}, {""doc_id"": ""170933f0114c4d7d"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-26"", ""nodes"": [""trigger"", ""implementation"", ""result""]}, {""doc_id"": ""5db595b5e2269cac"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-20"", ""nodes"": [""trigger"", ""implementation"", ""result""]}]"
111009,盛泰转债,605138,盛泰集团,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-12,2026-03-12,,2026-03-12,,0,NORMAL,10.56,,,,,,,"[{""doc_id"": ""e6da7c9fc637a901"", ""ann_type"": ""下修类公告"", ""event_stage"": ""stage_4_implementation"", ""publish_date"": ""2026-03-12"", ""nodes"": [""trigger"", ""proposal"", ""implementation""]}]"
111010,立昂转债,605358,立昂微,redemption,False,"trigger,implementation","resolution,result",2026-05-21,,,2028-11-13,,907,LONG,,,,,,,,"[{""doc_id"": ""5ad7692b9c62b2a1"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-21"", ""nodes"": [""trigger"", ""implementation""]}]"
111013,新港转债,605162,新中港,adjustment,False,"trigger,proposal,implementation",resolution,2026-05-28,2026-05-26,,2026-06-01,,6,NORMAL,,,,100.35,0.35,,,"[{""doc_id"": ""16c456fa50fe3336"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-28"", ""nodes"": [""trigger"", ""implementation""]}, {""doc_id"": ""7cad6400a317ce41"", ""ann_type"": ""强赎类公告"", ""event_stage"": ""stage_unknown"", ""publish_date"": ""2026-05-26"", ""nodes"": [""trigger"", ""proposal"", ""implementation""]}]"
