bond_code,bond_name,event_type,complete,nodes,missing_nodes,trigger_date,proposal_date,resolution_date,implementation_date,total_days,cycle_status,original_conv_price,new_conv_price,adjustment_ratio,redemption_price,premium_rate,notes,adjustment_ratio_calc,adjustment_ratio_check,premium_rate_calc,conversion_value,calc_method,premium_rate_check,cycle_check
128130,龙大转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-02,2026-03-24,,2026-04-19,48,NORMAL,18.27,17.81,2.52,,,,2.52,OK,,,,,NORMAL
128130,龙大转债,redemption,True,"trigger,resolution,implementation,result",,2026-03-09,,2026-02-24,2026-03-05,13,NORMAL,,,,107.52,7.52,,,,7.52,100,简化计算(假设转股价值=100),OK,NORMAL
128130,龙大转债,redemption,True,"trigger,resolution,implementation,result",,2026-05-10,,2026-05-05,2026-05-01,9,NORMAL,,,,105.26,5.26,,,,5.26,100,简化计算(假设转股价值=100),OK,NORMAL
127061,美锦转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-17,2026-03-20,,2026-02-28,20,NORMAL,14.25,16.55,-16.14,,,下修幅度为负，可能是溢价调整,-16.14,OK,,,,,NORMAL
127061,美锦转债,redemption,False,"trigger,resolution,implementation",result,2026-04-15,,2026-04-27,2026-03-27,31,NORMAL,,,,104.08,4.08,,,,4.08,100,简化计算(假设转股价值=100),OK,NORMAL
113595,海天转债,redemption,False,result,"trigger,resolution,implementation",,,,,,NORMAL,,,,102.8,2.8,,,,2.8,100,简化计算(假设转股价值=100),OK,
128059,五粮液转债,adjustment,False,trigger,"proposal,resolution,implementation",2026-05-10,,,,,NORMAL,,,,,,,,,,,,,
128079,榨菜转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-16,2026-04-10,,2026-04-24,39,NORMAL,13.92,14.57,-4.67,,,下修幅度为负，可能是溢价调整,-4.67,OK,,,,,NORMAL
128079,榨菜转债,redemption,False,"trigger,resolution,implementation",result,2026-03-04,,2026-05-03,2026-03-24,60,NORMAL,,,,105.92,5.92,,,,5.92,100,简化计算(假设转股价值=100),OK,NORMAL
128079,榨菜转债,redemption,False,"resolution,implementation,result",trigger,,,2026-05-08,2026-05-07,16,NORMAL,,,,103.32,3.32,,,,3.32,100,简化计算(假设转股价值=100),OK,NORMAL
128080,苏农转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-04,2026-03-06,,2026-03-05,2,SHORT,15.66,12.06,22.99,,,周期过短，可能存在异常,22.99,OK,,,,,NORMAL
128080,苏农转债,redemption,False,"trigger,implementation","resolution,result",2026-03-03,,,2026-04-23,51,NORMAL,,,,111.19,11.19,,,,11.19,100,简化计算(假设转股价值=100),OK,NORMAL
128080,苏农转债,redemption,False,resolution,"trigger,implementation,result",,,2026-05-20,,,NORMAL,,,,101.96,1.96,,,,1.96,100,简化计算(假设转股价值=100),OK,
113585,华海转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-03-03,2026-03-05,,2026-04-29,57,NORMAL,14.55,13.53,7.01,,,,7.01,OK,,,,,NORMAL
113585,华海转债,redemption,False,"resolution,implementation,result",trigger,,,2026-03-16,2026-05-02,47,NORMAL,,,,112.09,12.09,,,,12.09,100,简化计算(假设转股价值=100),OK,NORMAL
113637,欧派转债,adjustment,False,implementation,"trigger,proposal,resolution",,,,2026-02-25,,NORMAL,23.87,15.36,35.65,,,,35.65,OK,,,,,
113637,欧派转债,redemption,False,"trigger,implementation,result",resolution,2026-03-27,,,2026-04-25,39,NORMAL,,,,111.67,11.67,,,,11.67,100,简化计算(假设转股价值=100),OK,NORMAL
113548,桃李转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-05-05,2026-03-21,,2026-03-10,56,NORMAL,18.2,18.0,1.1,,,,1.1,OK,,,,,NORMAL
113548,桃李转债,redemption,False,"resolution,implementation,result",trigger,,,2026-03-07,2026-03-12,15,NORMAL,,,,114.71,14.71,,,,14.71,100,简化计算(假设转股价值=100),OK,NORMAL
118015,芯海转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-05-15,2026-03-24,,2026-04-01,52,NORMAL,15.21,9.75,35.9,,,,35.9,OK,,,,,NORMAL
118015,芯海转债,redemption,False,"trigger,resolution,result",implementation,2026-05-18,,2026-03-31,,52,NORMAL,,,,100.61,0.61,,,,0.61,100,简化计算(假设转股价值=100),OK,NORMAL
128154,麒麟转债,adjustment,False,"trigger,proposal,implementation",resolution,2026-02-28,2026-03-27,,2026-04-08,39,NORMAL,11.22,10.42,7.13,,,,7.13,OK,,,,,NORMAL
128154,麒麟转债,redemption,False,"resolution,implementation,result",trigger,,,2026-03-24,2026-04-10,17,NORMAL,,,,110.66,10.66,,,,10.66,100,简化计算(假设转股价值=100),OK,NORMAL
