adjustment_ratio,adjustment_ratio_calc,adjustment_ratio_check,bond_code,bond_name,calc_method,complete,conversion_value,cycle_check,cycle_status,event_type,implementation_date,missing_nodes,new_conv_price,nodes,notes,original_conv_price,premium_rate,premium_rate_calc,premium_rate_check,proposal_date,redemption_price,resolution_date,stock_code,stock_name,total_days,trigger_date
,,,149975,22万科 05,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,3.21,,,,103.21,,000002,万科 A,0,
,,,148205,23重发 01,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,3.2,,,,103.2,,,,0,
,,,123117,健帆转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,38.65,,,,,,,300529,健帆生物科技集团股份有限公司,0,
,,,111005,富春转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,1.4,,,,101.3973,,605189,芜湖富春染织股份有限公司,0,
,,,123236,家联转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,0.34,,,,100.344,,301193,家联科技,0,
,,,123109,昌红转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,26.72,,,,,,,300151,昌红科技,0,
15.0,,,123264,双乐转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,36.7,,,,,,,301036,双乐股份,0,
54.84,,,128119,龙大转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",4.2,,,9.30,,,,,,,002726,ST龙大,0,
,,,127024.SZ,盈峰转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,1.13,,,,101.13,,000967,盈峰环境科技集团股份有限公司,0,
,,,123104,卫宁转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",9.43,,,17.31,,,,,,,300253,卫宁健康,0,
,,,149539.SZ,21建房01,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,4.38,,,,104.38,,149539,建发房地产集团有限公司,0,
,,,128141,旺能转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,0.84,,,,100.844元/张（含息税）,,002034,旺能环境,0,
,,,118024,冠宇转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,22.89,,,,,,,688772,珠海冠宇,0,
,,,111013,新港转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,0.35,,,,100.3534,,605162,新中港,0,
40.0,,,118027,宏图转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",24.55,,,40.94,,,,,,,688066,航天宏图,0,
,,,123180,浙矿转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,47.89,,,,,,,300837,浙矿股份,0,
,,,148300,23广资01,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,103.18,,,,0,
,,,118053,正帆转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,38.45,,,,,,,688596,上海正帆科技股份有限公司,0,2026-03-17
,,,111023,利柏转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,605167,利柏特,0,
49.77,,,110076,华海转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",16.6,,,33.06,,,,,,,600521,华海药业,0,
,,,123054,思特转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,2.9,,,,102.9,,300608,思特奇,0,
,,,113700,海天转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,,,,,,,,603759,海天水务集团股份公司,0,
,,,128137,洁美转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,101.266,,002859,洁美科技,0,
,,,148097,22越控 04,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,2.65,,,,102.65元/张,,,广州越秀资本控股集团股份有限公司,0,
,,,123259,锦浪转02,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,89.82,,,,,,,300763,锦浪科技,0,
,,,113660,寿22转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",36.84,,,36.84,,,,,,,603896,寿仙谷,0,
,,,148099,22万科 07,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,3.45,,,,103.45,,000002,万科 A,0,
1.25,,,123262,神宇转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",38.82,,,39.31,,,,,,,300563,神宇股份,0,
,,,123165,回天转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,15.2,,,,,,,300041,回天新材,0,
,,,127062,垒知转债,,True,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,"trigger,trigger,trigger",,7.6,,,,,,,002398,垒知集团,0,2026-04-24
,,,127026,超声转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,1.04,,,,101.04,,000823,超声电子,0,
,,,127056,中特转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,22.23,,,,,,,000708,中信特钢,0,
,,,123121,帝尔转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,2.07,,,,102.07,,300776,武汉帝尔激光科技股份有限公司,0,
,,,128138,侨银转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",14.64元/股,,,17.90元/股,,,,,,,002973,侨银股份,0,
,,,123126,瑞丰转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,2.53,,,,102.532,,300243,瑞丰高材,0,
