adjustment_ratio,adjustment_type,ann_type,avg_price_1d,avg_price_20d,bond_code,bond_name,delisting_date,doc_id,effective_date,evidence_page,evidence_text,last_convert_date,new_conv_price,notes,original_conv_price,premium_rate,pricing_base_date,publish_date,record_date,redemption_price,redemption_trigger,stock_code,stock_name,trigger_rule
,,强赎,,,149975,22万科 05,2025-07-08,02279a1b64687f35,,6,二〇二五年六月十七日；赎回价格：人民币 103.21元/张（含当期利息，且当期利息含税）,2025-07-07,,,,3.21,,2025-06-17,2025-07-07,103.21,发行人将于本期债券第3个计息年度付息日前的第20个交易日，在指定的信息披露媒体上发布关于是否行使赎回选择权的公告。若决定行使赎回权利，本期债券将被视为第3年全部到期,000002,万科 A,
,,强赎类,,,148205,23重发 01,2026-03-16,00d8ff93ff716bce,,1,赎回登记日： 2026年3月13日 赎回价格：人民币 103.20元/张（含当期应计利息且当期利息含税）,,,,,3.2,,,2026-03-13,103.2,发行人将于本期债券第 3个计息年度付息日前的第 30个交易日，决定是否行使发行人赎回选择权,,,
,,下修类公告,,,123117,健帆转债,,033306497d0154b5,,,截至2026年5月8日，公司股票已出现连续三十个交易日中十五个交易日的收盘价格低于当期转股价格85%的情形，且最新有效的转股价格为38.65元/股,,,,38.65,,,2026-05-08,,,,300529,健帆生物科技集团股份有限公司,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎,,,111005,富春转债,2026-05-29,057f3ee963b3eb52,,,赎回登记日：2026年5月28日；赎回价格：101.3973元/张；最后转股日：2026年5月28日；摘牌日期：2026年5月29日；公司股票自2026年4月9日至2026年4月29日连续三十个交易日有十五个交易日收盘价格高于（或不低于）当期转股价格11.98元/股的130%（即15.574元/股）,2026-05-28,,,,1.4,,2026-05-21,2026-05-28,101.4,连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（即15.574元/股）,605189,芜湖富春染织股份有限公司,
,,强赎类,,,123236,家联转债,2026-05-28,03f93945dfe5ccba,,2,截至2026年5月27日收市后仍未转股的‘家联转债’将按照100.344元/张的价格强制赎回。若被强制赎回，投资者可能面临损失。,2026-05-28,,,,0.34,,2026-05-22,2026-05-27,100.34,连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,301193,家联科技,
,,下修类公告,,,123109,昌红转债,,05e842f296bf08a9,,3,公司股价自2026年4月7日至2026年4月27日，出现连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%（即22.71元/股）的情形,,,,26.72,,2026-04-27,2026-04-28,,,,300151,昌红科技,连续30个交易日收盘价低于转股价的85%
15.0,被动调整,下修,,,123264,双乐转债,,07ef28c71632845f,,3,自2026年3月3日至2026年3月16日，公司股票已有10个交易日的收盘价格低于当期转股价格36.70元/股的85%（即31.20元/股）,,,,36.7,,,2026-03-16,,,,301036,双乐股份,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%
55.38,主动下修,下修,,,128119,龙大转债,,09d83a9026b8effd,2026-02-12,Page 1,2026年5月6日，公司召开第六届董事会第十八次会议审议通过了《关于提议向下修正“龙大转债”转股价格的议案》。公司股票已有十个交易日的收盘价低于当期转股价格的90%（即3.78元/股），已触发“龙大转债”转股价格向下修正条款。将“龙大转债”的转股价格由9.30元/股向下修正为4.20元/股,,4.2,,9.3,,,2026-05-06,,,,002726,ST龙大,当公司A股股票在任意连续二十个交易日中有十个交易日的收盘价低于当期转股价格的90%时
,,强赎,,,127024.SZ,盈峰转债,2026-05-29,0e101c21c63c1568,,Page 1,2026年5月25日为“盈峰转债”最后一个交易日，当日“盈峰转债”简称 为“Z峰转债”；2026年5月25日收市后“盈峰转债”将停止交易。2026年5月28日为“盈峰转债”最后一个转股日，当日收市前，持有“盈峰转债”的投资者仍可进行转股，2026年5月28日收市后，仍未实施转股的“盈峰转债”将停止转股，剩余“盈峰转债”将按照101.129元/张（含息税，当期年利率为2.00%）的价格被强制赎回。,2026-05-28,,,,1.13,,2026-05-21,2026-05-28,101.13,连续30个交易日收盘价不低于当期转股价格的130%（含130%）,000967,盈峰环境科技集团股份有限公司,
,被动调整,下修,,,123104,卫宁转债,,0e492db366e04dd2,,4,截至2026年3月11日，公司股票出现在任意连续三十个交易日中有十五个交易日的收盘价低于当期转股价格17.31元/股的85%（即14.71元/股）的情形,,,,17.31,,2026-03-11,2026-03-11,,,,300253,卫宁健康,连续30个交易日中有15个交易日收盘价低于转股价的85%
